1_Operating Systems_Massachusetts Institute of Technology,2_Operating Systems_Massachusetts Institute of Technology,1
1_Databases_Brown University,2_Databases_Carnegie Mellon University,1
1_Hardware & Architecture_Stanford University,2_Hardware & Architecture_Carnegie Mellon University,1
1_Algorithms & Theory_Stanford University,2_Algorithms & Theory_Princeton University,3
1_Hardware & Architecture_California Institute of Technology,2_Hardware & Architecture_Stanford University,1
1_Hardware & Architecture_Carnegie Mellon University,2_Hardware & Architecture_Princeton University,1
1_Programming Languages_Cornell University,2_Programming Languages_Princeton University,1
1_Machine Learning & Pattern Recognition_University of Sydney & NICTA,2_Machine Learning & Pattern Recognition_Georgia Institute of Technology,1
1_Security & Privacy_State University of New York - Stony Brook,2_Security & Privacy_Cornell University,1
1_Distributed & Parallel Computing_University of Minnesota - Twin Cities,2_Distributed & Parallel Computing_Georgia Institute of Technology,1
1_Algorithms & Theory_Massachusetts Institute of Technology,2_Algorithms & Theory_Carnegie Mellon University,4
1_Hardware & Architecture_University of California - Berkeley,2_Hardware & Architecture_Stanford University,2
1_Bioinformatics & Computational Biology_Columbia University,2_Bioinformatics & Computational Biology_University of Texas - Austin,1
1_Programming Languages_Massachusetts Institute of Technology,2_Programming Languages_University of Texas - Austin,1
1_Operating Systems_University of Washington,2_Operating Systems_University of Washington,1
1_Hardware & Architecture_University of Illinois at Urbana-Champaign,2_Hardware & Architecture_University of Illinois at Urbana-Champaign,1
1_Networks & Communications_Massachusetts Institute of Technology,2_Networks & Communications_Cornell University,1
1_Programming Languages_University of Wisconsin - Madison,2_Programming Languages_Cornell University,1
1_Bioinformatics & Computational Biology_University of Utah,2_Bioinformatics & Computational Biology_University of California - Berkeley,1
1_Human-Computer Interaction_Georgia Institute of Technology,2_Human-Computer Interaction_Georgia Institute of Technology,5
1_Databases_Stanford University,2_Databases_University of Illinois at Urbana-Champaign,1
1_Natural Language & Speech_Carnegie Mellon University,2_Natural Language & Speech_Carnegie Mellon University,2
1_Artificial Intelligence_University of Bonn,2_Artificial Intelligence_Stanford University,1
1_Networks & Communications_University of Waterloo - Ontario,2_Networks & Communications_Georgia Institute of Technology,1
1_Algorithms & Theory_University of Pennsylvania,2_Algorithms & Theory_University of Illinois at Urbana-Champaign,1
1_Networks & Communications_University of Michigan,2_Networks & Communications_Princeton University,1
1_Human-Computer Interaction_Massachusetts Institute of Technology,2_Human-Computer Interaction_Stanford University,1
