Name,University,JoinYear,Rank,Subfield,Bachelors,Doctorate
Chitta Baral,Arizona State University,1999,Full,Natural Language & Speech,Indian Institute of Technology - Kanpur,University of Maryland - College Park
Kasim Candan,Arizona State University,1997,Full,Databases,Bilkent University,University of Maryland - College Park
Charles Colbourn,Arizona State University,2001,Full,Networks & Communications, University of Toronto, University of Toronto
James Collofello,Arizona State University,1979,Full,Software Engineering,Northern Illinois University,Northwestern University
Subbarao Kambhampati,Arizona State University,1991,Full,Artificial Intelligence,Indian Institute of Technology - Madras,University of Maryland - College Park
Huan Liu,Arizona State University,2000,Full,Machine Learning & Pattern Recognition,Shanghai Jiaotong University,University of Southern California
Guoliang Xue,Arizona State University,2001,Full,Security & Privacy,Qufu Normal University,University of Minnesota - Twin Cities
Rida Bazzi,Arizona State University,1996,Associate,Security & Privacy,American University of Beirut,Georgia Institute of Technology
Partha Dasgupta,Arizona State University,1991,Associate,Security & Privacy,Indian Institute of Technology - Kharagpur,State University of New York - Stony Brook
Hasan Davulcu,Arizona State University,,Associate,Data Mining,Middle East Technical University,State University of New York - Stony Brook
Joohyung Lee,Arizona State University,2005,Associate,Natural Language & Speech,Seoul National University - Seoul,University of Texas - Austin
Brian Nelson,Arizona State University,,Associate,Computer Education,Washington State University,Harvard University
Andrea Richa,Arizona State University,1998,Associate,Algorithms & Theory,Federal University of Rio de Janeiro,Carnegie Mellon University
Violet Syrotiuk,Arizona State University,2002,Associate,Networks & Communications,University of Alberta,University of Waterloo - Ontario
Peter Wonka,Arizona State University,2004,Associate,Graphics,Vienna University of Technology,Vienna University of Technology
Jieping Ye,Arizona State University,2005,Associate,Machine Learning & Pattern Recognition,Fudan University - Shanghai,University of Minnesota - Twin Cities
Georgios Fainekos,Arizona State University,2009,Assistant,Real-Time & Embedded Systems,National Technical University of Athens,University of Pennsylvania
Aviral Shrivastava,Arizona State University,2006,Assistant,Real-Time & Embedded Systems,Indian Institute of Technology - Delhi,University of California - Irvine
Yalin Wang,Arizona State University,2010,Assistant,Computer Vision,Tsinghua University - Beijing,University of Washington
Assaf J. Kfoury,Boston University,,Full,Programming Languages,Massachusetts Institute of Technology,Massachusetts Institute of Technology
Azer Bestavros,Boston University,1991,Full,Networks & Communications,Alexandria University,Harvard University
Evimaria Terzi,Boston University,2009,Associate,Data Mining,Aristotle University of Thessaloniki,University of Helsinki
George Kollios,Boston University,2000,Full,Databases,National Technical University of Athens,Polytechnic University - Brooklyn - New York
Hongwei Xi,Boston University,2001,Associate,Programming Languages,Nanjing University,Carnegie Mellon University
Ibrahim Matta,Boston University,1999,Full,Networks & Communications,Alexandria University,University of Maryland - College Park
John Byers,Boston University,1999,Full,Networks & Communications,Cornell University,University of California - Berkeley
Jonathan Appavoo,Boston University,2009,Assistant,Distributed & Parallel Computing,McMaster University,University of Toronto
Leonid Levin,Boston University,1980,Full,Algorithms & Theory,Moscow State University,Moscow State University
Leonid Reyzin,Boston University,2001,Associate,Security & Privacy,Harvard University,Massachusetts Institute of Technology
Lorenzo Orecchia,Boston University,2014,Assistant,Algorithms & Theory,Princeton University,University of California - Berkeley
Margrit Betke,Boston University,2000,Full,Computer Vision,University of Bonn,Massachusetts Institute of Technology
Mark Crovella,Boston University,1994,Full,Networks & Communications,Cornell University,University of Rochester
Richard West,Boston University,2006,Associate,Operating Systems,University of Newcastle,Georgia Institute of Technology
Sharon Goldberg,Boston University,2010,Assistant,Security & Privacy,University of Toronto,Princeton University
Stan Sclaroff,Boston University,1995,Full,Computer Vision,Tufts University,Massachusetts Institute of Technology
Steve Homer,Boston University,1982,Full,Algorithms & Theory,University of California - Berkeley,Massachusetts Institute of Technology
Amy Greenwald,Brown University,2000,Associate,Artificial Intelligence,University of Pennsylvania,New York University
Andries van Dam,Brown University,1965,Full,Graphics,Swarthmore College,University of Pennsylvania
Anna Lysyanskaya,Brown University,2002,Full,Security & Privacy,Smith College,Massachusetts Institute of Technology
Benjamin Raphael,Brown University,2006,Associate,Bioinformatics & Computational Biology,Massachusetts Institute of Technology,University of California - San Diego
Chad Jenkins,Brown University,2004,Full,Artificial Intelligence,Alma College,University of Southern California
Claire Mathieu,Brown University,2004,Full,Algorithms & Theory,University of Paris VII: Denis Diderot,Paris XI
David Laidlaw,Brown University,1998,Full,Graphics,Brown University,California Institute of Technology
Eli Upfal,Brown University,1998,Full,Algorithms & Theory,Hebrew University of Jerusalem,Hebrew University of Jerusalem
Erik Sudderth,Brown University,2009,Assistant,Machine Learning & Pattern Recognition,University of California - San Diego,Massachusetts Institute of Technology
Eugene Charniak,Brown University,1978,Full,Natural Language & Speech,University of Chicago,Massachusetts Institute of Technology
James Hays,Brown University,2009,Assistant,Computer Vision,Georgia Institute of Technology,Carnegie Mellon University
Jeff Huang,Brown University,2013,Assistant,Human-Computer Interaction,University of Illinois at Urbana-Champaign,University of Washington
John Hughes,Brown University,1984,Full,Graphics,Princeton University,University of California - Berkeley
John Savage,Brown University,1967,Full,Security & Privacy,Massachusetts Institute of Technology,Massachusetts Institute of Technology
Maurice Herlihy,Brown University,1994,Full,Distributed & Parallel Computing,Harvard University,Massachusetts Institute of Technology
Michael Littman,Brown University,2012,Full,Machine Learning & Pattern Recognition,Yale University,Brown University
Paul Valiant,Brown University,2013,Assistant,Algorithms & Theory,Stanford University,Massachusetts Institute of Technology
Pedro Felzenszwalb,Brown University,2011,Associate,Computer Vision,Cornell University,Massachusetts Institute of Technology
Philip Klein,Brown University,1989,Full,Algorithms & Theory,Harvard University,Massachusetts Institute of Technology
Rodrigo Fonseca,Brown University,2009,Assistant,Networks & Communications,Universidade Federal de Minas Gerais,University of California - Berkeley
Shriram Krishnamurthi,Brown University,2000,Full,Programming Languages,Ohio Wesleyan University,Rice University
Sorin Istrail,Brown University,2005,Full,Bioinformatics & Computational Biology,Alexandru Ioan Cuza University,University of Bucharest
Stan Zdonik,Brown University,1983,Full,Databases,Massachusetts Institute of Technology,Massachusetts Institute of Technology
Stefanie Tellex,Brown University,2013,Assistant,Artificial Intelligence,Massachusetts Institute of Technology,Massachusetts Institute of Technology
Steven Reiss,Brown University,1977,Full,Software Engineering,Dartmouth College,Yale University
Thomas Doeppner,Brown University,1981,Research,Operating Systems,Cornell University,Princeton University
Tim Kraska,Brown University,2013,Assistant,Databases,University of Münster,Swiss Federal Institute of Technology (ETH)
Ugur Cetintemel,Brown University,2001,Full,Databases,Bilkent University,University of Maryland - College Park
Adam Wierman,California Institute of Technology,2007,Full,Operating Systems,Carnegie Mellon University,Carnegie Mellon University
Alain J. Martin,California Institute of Technology,1969,Full,Hardware & Architecture,Aix-Marseille University,Institut National Polytechnique de Grenoble
Alan H. Barr,California Institute of Technology,1984,Full,Graphics,Rensselaer Polytechnic Institute,Indian Institute of Technology - Kanpur
Christopher Umans,California Institute of Technology,2002,Full,Algorithms & Theory,Williams College,University of California - Berkeley
Erik Winfree,California Institute of Technology,2000,Full,Bioinformatics & Computational Biology,University of Chicago,California Institute of Technology
Katrina Ligett,California Institute of Technology,2011,Assistant,Algorithms & Theory,Brown University,Carnegie Mellon University
Leonard J. Schulman,California Institute of Technology,2000,Full,Algorithms & Theory,Massachusetts Institute of Technology,Massachusetts Institute of Technology
Mathieu Desbrun,California Institute of Technology,1997,Full,Graphics,École Nationale Supérieure d'Informatique et de Mathématiques Appliquées de Grenoble,Institut National Polytechnique de Grenoble
Peter Schroeder,California Institute of Technology,1995,Full,Graphics,Technical University of Berlin,Princeton University
Steven Low,California Institute of Technology,2000,Full,Networks & Communications,Cornell University,University of California - Berkeley
Thomas Vidick,California Institute of Technology,2014,Assistant,Scientific Computing,École Normale Supérieure,University of California - Berkeley
Tracey C. Ho,California Institute of Technology,2005,Assistant,Networks & Communications,Massachusetts Institute of Technology,California Institute of Technology
Venkat Chandrasekaran,California Institute of Technology,2012,Assistant,Algorithms & Theory,Rice University,Massachusetts Institute of Technology
Yaser S. Abu-Mostafa,California Institute of Technology,1983,Full,Machine Learning & Pattern Recognition,Cairo University - Cairo,California Institute of Technology
Yisong Yue,California Institute of Technology,2014,Assistant,Machine Learning & Pattern Recognition,University of Illinois at Urbana-Champaign,Cornell University
Aarti Singh,Carnegie Mellon University,2009,Assistant,Machine Learning & Pattern Recognition,University of Delhi,University of Wisconsin - Madison
Alan Black,Carnegie Mellon University,1999,Full,Natural Language & Speech,Coventry University,University of Edinburgh
Alan Montgomery,Carnegie Mellon University,1999,Associate,Data Mining,University of Illinois at Chicago,University of Chicago
Alexander J. Smola,Carnegie Mellon University,2013,Full,Machine Learning & Pattern Recognition,Technical University of Munich,Technical University of Berlin
Alexander Waibel,Carnegie Mellon University,,Full,Machine Learning & Pattern Recognition,Massachusetts Institute of Technology,Carnegie Mellon University
Amy Ogan,Carnegie Mellon University,2014,Assistant,Computer Education,Carnegie Mellon University,Carnegie Mellon University
Andy Pavlo,Carnegie Mellon University,2013,Assistant,Databases,Rochester Institute of Technology,Brown University
Aniket Kittur,Carnegie Mellon University,2007,Assistant,Human-Computer Interaction,Princeton University,University of California - Los Angeles
Anind Dey,Carnegie Mellon University,2004,Associate,Human-Computer Interaction,Simon Fraser University,Georgia Institute of Technology
Ann Lee,Carnegie Mellon University,2005,Associate,Machine Learning & Pattern Recognition,Chalmers University of Technology,Brown University
Anupam Datta,Carnegie Mellon University,2007,Associate,Security & Privacy,Indian Institute of Technology - Kharagpur,Stanford University
Anupam Gupta,Carnegie Mellon University,2004,Associate,Algorithms & Theory,Indian Institute of Technology - Kanpur,University of California - Berkeley
Ariel Procaccia,Carnegie Mellon University,2011,Assistant,Artificial Intelligence,Hebrew University of Jerusalem,Hebrew University of Jerusalem
Bhiksha Raj,Carnegie Mellon University,,Associate,Natural Language & Speech,Indian Institute of Technology - Madras,Carnegie Mellon University
Brad Myers,Carnegie Mellon University,1987,Full,Human-Computer Interaction,Massachusetts Institute of Technology,University of Toronto
Carolyn Penstein Rose,Carnegie Mellon University,2003,Associate,Natural Language & Speech,University of California - Irvine,Carnegie Mellon University
Chris Harrison,Carnegie Mellon University,2013,Assistant,Human-Computer Interaction,New York University,Carnegie Mellon University
Christine Neuwirth,Carnegie Mellon University,1983,Full,Human-Computer Interaction,University of Wisconsin - Madison,Carnegie Mellon University
Christopher Dyer,Carnegie Mellon University,2012,Assistant,Natural Language & Speech,Duke University,University of Maryland - College Park
Christopher Langmead,Carnegie Mellon University,,Associate,Bioinformatics & Computational Biology,Oberlin College,Dartmouth College
Christos Faloutsos,Carnegie Mellon University,1998,Full,Data Mining,National Technical University of Athens,University of Toronto
Claire Le Goues,Carnegie Mellon University,2013,Assistant,Software Engineering,Harvard University,University of Virginia
Daniel P. Siewiorek,Carnegie Mellon University,1972,Full,Human-Computer Interaction,University of Michigan,Stanford University
David Andersen,Carnegie Mellon University,,Associate,Networks & Communications,University of Utah,Massachusetts Institute of Technology
David Brumley,Carnegie Mellon University,,Assistant,Security & Privacy,University of Northern Colorado,Carnegie Mellon University
David O'Hallaron,Carnegie Mellon University,1989,Full,Scientific Computing,Virginia Polytechnic Institute and State University,University of Virginia
Edmund M. Clarke,Carnegie Mellon University,1982,Full,Hardware & Architecture,University of Virginia,Cornell University
Eric Poe Xing,Carnegie Mellon University,2004,Associate,Machine Learning & Pattern Recognition,Tsinghua University - Beijing,University of California - Berkeley
Frank Pfenning,Carnegie Mellon University,1986,Full,Programming Languages,Technische Universität Darmstadt,Carnegie Mellon University
Garth Gibson,Carnegie Mellon University,1991,Full,Hardware & Architecture,University of Waterloo - Ontario,University of California - Berkeley
Ge Yang,Carnegie Mellon University,2008,Assistant,Bioinformatics & Computational Biology,Tsinghua University - Beijing,University of Minnesota - Twin Cities
Greg Ganger,Carnegie Mellon University,,Full,Operating Systems,University of Michigan,University of Michigan
Gustavo Rohde,Carnegie Mellon University,2007,Associate,Bioinformatics & Computational Biology,Vanderbilt University,University of Maryland - College Park
Guy Blelloch,Carnegie Mellon University,,Full,Distributed & Parallel Computing,Swarthmore College,Massachusetts Institute of Technology
Howie Choset,Carnegie Mellon University,,Full,Artificial Intelligence,University of Pennsylvania,California Institute of Technology
Hui Zhang,Carnegie Mellon University,,Full,Networks & Communications,Peking University - Beijing,University of California - Berkeley
J. Andrew (Drew) Bagnell,Carnegie Mellon University,2000,Associate,Artificial Intelligence,University of Florida,Carnegie Mellon University
J. Zico Kolter,Carnegie Mellon University,2012,Assistant,Real-Time & Embedded Systems,Georgetown University,Stanford University
Jacobo Carrasquel,Carnegie Mellon University,1980,Associate,Computer Education,Carnegie Mellon University,Carnegie Mellon University
Jaime Carbonell,Carnegie Mellon University,1995,Full,Artificial Intelligence,Massachusetts Institute of Technology,Yale University
James C. Hoe,Carnegie Mellon University,,Associate,Hardware & Architecture,University of California - Berkeley,Massachusetts Institute of Technology
James Herbsleb,Carnegie Mellon University,1994,Full,Software Engineering,Monmouth College,University of Nebraska - Lincoln
James Morris,Carnegie Mellon University,1982,Full,Programming Languages,Carnegie Institute of Technology,Massachusetts Institute of Technology
Jamie Callan,Carnegie Mellon University,1999,Full,Information Retrieval,University of Connecticut,University of Massachusetts - Amherst
Jason Hong,Carnegie Mellon University,2004,Associate,Human-Computer Interaction,Georgia Institute of Technology,University of California - Berkeley
Jeannette M. Wing,Carnegie Mellon University,1985,Full,Programming Languages,Massachusetts Institute of Technology,Massachusetts Institute of Technology
Jeffrey Bigham,Carnegie Mellon University,2013,Associate,Human-Computer Interaction,Princeton University,University of Washington
Jeffrey Eppinger,Carnegie Mellon University,2001,Full,Software Engineering,Carnegie Mellon University,Carnegie Mellon University
Jennifer Mankoff,Carnegie Mellon University,2004,Associate,Human-Computer Interaction,Oberlin College,Georgia Institute of Technology
Jessica Hammer,Carnegie Mellon University,2014,Assistant,Human-Computer Interaction,Harvard University,Columbia University
Jodi Forlizzi,Carnegie Mellon University,2000,Associate,Human-Computer Interaction,Philadelphia College of Art,Carnegie Mellon University
John Anderson,Carnegie Mellon University,1978,Full,Human-Computer Interaction,University of British Columbia,Stanford University
Jonathan Aldrich,Carnegie Mellon University,2003,Associate,Scientific Computing,University of Washington,University of Washington
Justine Cassell,Carnegie Mellon University,2010,Full,Human-Computer Interaction,Dartmouth College,University of Chicago
Karl Crary,Carnegie Mellon University,1998,Associate,Programming Languages,Carnegie Mellon University,Cornell University
Kathleen M. Carley,Carnegie Mellon University,1984,Full,Human-Computer Interaction,Massachusetts Institute of Technology,Harvard University
Kathryn Roeder,Carnegie Mellon University,1994,Full,Bioinformatics & Computational Biology,University of Idaho,Pennsylvania State University
Ken Koedinger,Carnegie Mellon University,1990,Full,Human-Computer Interaction,University of Wisconsin - Madison,Carnegie Mellon University
Laura Dabbish,Carnegie Mellon University,,Associate,Human-Computer Interaction,University of Southern California,Carnegie Mellon University
Lenore Blum,Carnegie Mellon University,1999,Full,Algorithms & Theory,Carnegie Institute of Technology,Massachusetts Institute of Technology
Lorrie Cranor,Carnegie Mellon University,2003,Associate,Security & Privacy,Washington University - St. Louis,Washington University - St. Louis
Luis VonAhn,Carnegie Mellon University,2006,Associate,Human-Computer Interaction,Duke University,Carnegie Mellon University
Mahadev Satyanarayanan,Carnegie Mellon University,,Full,Security & Privacy,Indian Institute of Technology - Madras,Carnegie Mellon University
Manuel Blum,Carnegie Mellon University,2001,Full,Algorithms & Theory,Massachusetts Institute of Technology,Massachusetts Institute of Technology
Manuela Veloso,Carnegie Mellon University,1997,Full,Artificial Intelligence,Instituto Superior Tecnico - Lisbon,Carnegie Mellon University
Mary Shaw,Carnegie Mellon University,,Full,Software Engineering,Rice University,Carnegie Mellon University
Matt Mason,Carnegie Mellon University,1982,Full,Artificial Intelligence,Massachusetts Institute of Technology,Massachusetts Institute of Technology
Michael Erdmann,Carnegie Mellon University,1989,Full,Bioinformatics & Computational Biology,University of Washington,Massachusetts Institute of Technology
Michael Shamos,Carnegie Mellon University,1975,Full,Scientific Computing,Princeton University,Yale University
Mor Harchol-Balter,Carnegie Mellon University,1999,Associate,Scientific Computing,Brandeis University,University of California - Berkeley
Norman M Sadeh,Carnegie Mellon University,1991,Full,Security & Privacy,Free University of Brussels,Carnegie Mellon University
Onur Mutlu,Carnegie Mellon University,2009,Assistant,Hardware & Architecture,University of Michigan,University of Texas - Austin
Peter Steenkiste,Carnegie Mellon University,,Full,Artificial Intelligence,Ghent University,Stanford University
Raj Reddy,Carnegie Mellon University,1969,Full,Artificial Intelligence,University of Madras,Stanford University
Randal Bryant,Carnegie Mellon University,1984,Full,Real-Time & Embedded Systems,University of Michigan,Massachusetts Institute of Technology
Richard Stern,Carnegie Mellon University,1977,Full,Natural Language & Speech,Massachusetts Institute of Technology,Massachusetts Institute of Technology
Robert F. Murphy,Carnegie Mellon University,2003,Full,Programming Languages,Columbia University,California Institute of Technology
Robert Kass,Carnegie Mellon University,1981,Full,Scientific Computing,Antioch College,University of Chicago
Robert Kraut,Carnegie Mellon University,2000,Full,Human-Computer Interaction,Lehigh University,Yale University
Roberta Klatzky,Carnegie Mellon University,1993,Full,Human-Computer Interaction,University of Michigan,Stanford University
Roni Rosenfeld,Carnegie Mellon University,,Full,Bioinformatics & Computational Biology,Tel Aviv University,Carnegie Mellon University
Ryan O'Donnell,Carnegie Mellon University,2006,Associate,Algorithms & Theory,University of Toronto,Massachusetts Institute of Technology
Ryan Tibshirani,Carnegie Mellon University,2011,Assistant,Machine Learning & Pattern Recognition,Stanford University,Stanford University
Sara Kiesler,Carnegie Mellon University,,Full,Human-Computer Interaction,Simmons College,Ohio State University
Scott Hudson,Carnegie Mellon University,1997,Full,Human-Computer Interaction,Arizona State University,University of Colorado Boulder
Seth Goldstein,Carnegie Mellon University,,Associate,Hardware & Architecture,Princeton University,University of California - Berkeley
Seyoung Kim,Carnegie Mellon University,2011,Assistant,Bioinformatics & Computational Biology,Seoul National University - Seoul,University of California - Irvine
Srinivasan Seshan,Carnegie Mellon University,2000,Associate,Networks & Communications,University of California - Berkeley,University of California - Berkeley
Steve Collins,Carnegie Mellon University,2010,Assistant,Artificial Intelligence,Cornell University,University of Michigan
Steven Dow,Carnegie Mellon University,2011,Assistant,Human-Computer Interaction,University of Iowa,Georgia Institute of Technology
Tai Sing Lee,Carnegie Mellon University,1996,Associate,Bioinformatics & Computational Biology,Harvard University,Harvard University
Todd Mowry,Carnegie Mellon University,1997,Full,Hardware & Architecture,University of Virginia,Stanford University
Tom M. Mitchell,Carnegie Mellon University,1986,Full,Machine Learning & Pattern Recognition,Massachusetts Institute of Technology,Stanford University
Travis Breaux,Carnegie Mellon University,2010,Assistant,Security & Privacy,University of Houston,North Carolina State University
Tuomas Sandholm,Carnegie Mellon University,2001,Full,Artificial Intelligence,Helsinki University of Technology - Aalto University,University of Massachusetts - Amherst
Umut Acar,Carnegie Mellon University,,Assistant,Programming Languages,Bilkent University,Carnegie Mellon University
Venkatesan Guruswami,Carnegie Mellon University,2008,Associate,Algorithms & Theory,Indian Institute of Technology - Madras,Massachusetts Institute of Technology
William Cohen,Carnegie Mellon University,,Full,Machine Learning & Pattern Recognition,Duke University,Rutgers - State University of New Jersey - New Brunswick
William Scherlis,Carnegie Mellon University,,Full,Software Engineering,Harvard University,Stanford University
Yuvraj Agarwal,Carnegie Mellon University,2013,Assistant,Networks & Communications,Pune University - Poona,University of California - San Diego
Alfred V. Aho,Columbia University,1995,Full,Software Engineering,University of Toronto,Princeton University
Allison Bishop Lewko,Columbia University,2013,Assistant,Security & Privacy,Princeton University,University of Texas - Austin
Angelos Keromytis,Columbia University,2001,Associate,Security & Privacy,University of Crete,University of Pennsylvania
Augustin Chaintreau,Columbia University,2010,Assistant,Networks & Communications,École Normale Supérieure,École Normale Supérieure
Changxi Zheng,Columbia University,2013,Assistant,Graphics,Shanghai Jiao Tong University - Shanghai,Cornell University
Clifford Stein,Columbia University,2001,Full,Algorithms & Theory,Princeton University,Massachusetts Institute of Technology
Dan Rubenstein,Columbia University,,Associate,Networks & Communications,Massachusetts Institute of Technology,University of Massachusetts - Amherst
Dana Pe'er,Columbia University,,Associate,Bioinformatics & Computational Biology,Hebrew University of Jerusalem,Hebrew University of Jerusalem
Daniel J Hsu,Columbia University,2013,Assistant,Machine Learning & Pattern Recognition,University of California - Berkeley,University of California - San Diego
David S. Johnson,Columbia University,2014,Full,Algorithms & Theory,Amherst College,Massachusetts Institute of Technology
Eitan Grinspun,Columbia University,,Associate,Graphics,University of Toronto,California Institute of Technology
Feniosky Pena-Mora,Columbia University,2009,Full,Artificial Intelligence,Universidad Nacional Pedro Henríquez Ureña,Massachusetts Institute of Technology
Gail E. Kaiser,Columbia University,1985,Full,Software Engineering,Massachusetts Institute of Technology,Carnegie Mellon University
Henning Schulzrinne,Columbia University,,Full,Networks & Communications,Technische Universität Darmstadt,University of Massachusetts - Amherst
Itsik G Pe'er,Columbia University,2011,Associate,Bioinformatics & Computational Biology,Tel Aviv University,Tel Aviv University
Jason Nieh,Columbia University,1999,Full,Operating Systems,Massachusetts Institute of Technology,Stanford University
John R. Kender,Columbia University,,Full,Computer Vision,University of Detroit Mercy,Carnegie Mellon University
Jonathan L. Gross,Columbia University,,Full,Algorithms & Theory,Massachusetts Institute of Technology,Dartmouth College
Joseph F. Traub,Columbia University,1979,Full,Scientific Computing,City College of New York,Columbia University
Junfeng Yang,Columbia University,,Associate,Operating Systems,Tsinghua University - Beijing,Stanford University
Kathleen McKeown,Columbia University,1982,Full,Natural Language & Speech,Brown University,University of Pennsylvania
Luca Carloni,Columbia University,2004,Associate,Hardware & Architecture,University of Bologna,University of California - Berkeley
Luis Gravano,Columbia University,1997,Full,Databases,Escuela Superior Latinoamericana de Informatica,Stanford University
Martha Kim,Columbia University,2008,Assistant,Hardware & Architecture,Harvard University,University of Washington
Mihalis Yannakakis,Columbia University,2004,Full,Algorithms & Theory,National Technical University of Athens,Princeton University
Peter K. Allen,Columbia University,,Full,Computer Vision,Brown University,University of Pennsylvania
Peter N. Belhumeur,Columbia University,2002,Full,Graphics,Brown University,Harvard University
Rocco A. Servedio,Columbia University,,Associate,Algorithms & Theory,Harvard University,Harvard University
Roxana Geambasu,Columbia University,2011,Assistant,Distributed & Parallel Computing,Polytechnic University of Bucharest,University of Washington
Salvatore J. Stolfo,Columbia University,1979,Full,Security & Privacy,Brooklyn College,New York University
Shih-Fu Chang,Columbia University,1993,Full,Multimedia,National Taiwan University - Taipei,University of California - Berkeley
Shree K. Nayar,Columbia University,1991,Full,Computer Vision,Birla Institute of Technology and Science - Ranchi,Carnegie Mellon University
Stephen A. Edwards,Columbia University,2001,Associate,Programming Languages,California Institute of Technology,University of California - Berkeley
Steven K. Feiner,Columbia University,1985,Full,Human-Computer Interaction,Brown University,Brown University
Steven M. Bellovin,Columbia University,2005,Full,Security & Privacy,Columbia University,University of North Carolina - Chapel Hill
Steven Nowick,Columbia University,,Full,Real-Time & Embedded Systems,Yale University,Stanford University
Tal G. Malkin,Columbia University,2003,Associate,Security & Privacy,Bar-Ilan University,Massachusetts Institute of Technology
Tony Jebara,Columbia University,2002,Associate,Machine Learning & Pattern Recognition,McGill University - Montreal,Massachusetts Institute of Technology
Venkat Venkatasubramanian,Columbia University,2012,Full,Distributed & Parallel Computing,University of Madras,Cornell University
Vishal Misra,Columbia University,2001,Associate,Networks & Communications,Indian Institute of Technology - Bombay,University of Massachusetts - Amherst
Xi Chen,Columbia University,2011,Assistant,Algorithms & Theory,Tsinghua University - Beijing,Tsinghua University - Beijing
Yechiam Yemini,Columbia University,,Full,Bioinformatics & Computational Biology,Hebrew University of Jerusalem,University of California - Los Angeles
Andrew Myers,Cornell University,1999,Full,Security & Privacy,Stanford University,Massachusetts Institute of Technology
Ashutosh Saxena,Cornell University,2009,Assistant,Artificial Intelligence,Indian Institute of Technology - Kanpur,Stanford University
Charles Van Loan,Cornell University,1975,Full,Scientific Computing,University of Michigan,University of Michigan
Claire Cardie,Cornell University,1994,Full,Natural Language & Speech,Yale University,University of Massachusetts - Amherst
Daniel P. Huttenlocher,Cornell University,1998,Full,Computer Vision,University of Michigan,Massachusetts Institute of Technology
David Bindel,Cornell University,2009,Assistant,Software Engineering,University of Maryland - College Park,University of California - Berkeley
David Steurer,Cornell University,2011,Assistant,Algorithms & Theory,Saarland University,Princeton University
Deborah Estrin,Cornell University,2013,Full,Networks & Communications,University of California - Berkeley,Massachusetts Institute of Technology
Dexter Kozen,Cornell University,1985,Full,Algorithms & Theory,Dartmouth College,Cornell University
Donald P. Greenberg,Cornell University,1968,Full,Graphics,Cornell University,Cornell University
Doug James,Cornell University,2006,Associate,Graphics,University of Western Ontario,University of British Columbia
E. Gun Sirer,Cornell University,2001,Associate,Operating Systems,Princeton University,University of Washington
Fred B. Schneider,Cornell University,1978,Full,Security & Privacy,Cornell University,State University of New York - Stony Brook
Hakim Weatherspoon,Cornell University,2006,Assistant,Distributed & Parallel Computing,University of Washington,University of California - Berkeley
Haym Hirsh,Cornell University,2013,Full,Artificial Intelligence,University of California - Los Angeles,Stanford University
Johannes Gehrke,Cornell University,1999,Full,Data Mining,Karlsruhe Institute of Technology,University of Wisconsin - Madison
John E. Hopcroft,Cornell University,1967,Full,Algorithms & Theory,Seattle University,Stanford University
Jon Kleinberg,Cornell University,1996,Full,Algorithms & Theory,Cornell University,Massachusetts Institute of Technology
Joseph Y. Halpern,Cornell University,1996,Full,Artificial Intelligence,University of Toronto,Harvard University
Kavita Bala,Cornell University,2000,Associate,Graphics,Indian Institute of Technology - Bombay,Massachusetts Institute of Technology
Kenneth P. Birman,Cornell University,1982,Full,Security & Privacy,Columbia University,University of California - Berkeley
Lillian Lee,Cornell University,1997,Full,Natural Language & Speech,Cornell University,Harvard University
Nate Foster,Cornell University,2010,Assistant,Programming Languages,Williams College,University of Pennsylvania
Noah Snavely,Cornell University,2009,Assistant,Computer Vision,University of Arizona,University of Washington
Rafael Pass,Cornell University,2006,Associate,Algorithms & Theory,Royal Institute of Technology - Stockholm,Massachusetts Institute of Technology
Ramin Zabih,Cornell University,1994,Full,Computer Vision,Massachusetts Institute of Technology,Stanford University
Robert Kleinberg,Cornell University,2006,Associate,Algorithms & Theory,Cornell University,Massachusetts Institute of Technology
Robert L. Constable,Cornell University,1968,Full,Programming Languages,Princeton University,University of Wisconsin - Madison
Ross Tate,Cornell University,2012,Assistant,Programming Languages,California Polytechnic State University,University of California - San Diego
Salman Avestimehr,Cornell University,2009,Assistant,Scientific Computing,Sharif University of Technology - Tehran,University of California - Berkeley
Serge Belongie,Cornell University,2013,Full,Computer Vision,California Institute of Technology,University of California - Berkeley
Steve Marschner,Cornell University,2002,Associate,Graphics,Brown University,Cornell University
Amit Chakrabarti,Dartmouth College,2009,Associate,Algorithms & Theory,Indian Institute of Technology - Bombay,Princeton University
David Kotz,Dartmouth College,1991,Associate,Scientific Computing,Dartmouth College,Duke University
Devin J. Balkcom,Dartmouth College,2010,Associate,Artificial Intelligence,Johns Hopkins University,Carnegie Mellon University
Gevorg Grigoryan,Dartmouth College,2011,Assistant,Bioinformatics & Computational Biology,University of Maryland - Baltimore,Massachusetts Institute of Technology
Lorenzo Torresani,Dartmouth College,2009,Assistant,Computer Vision,University of Milan,Stanford University
Michael Casey,Dartmouth College,2008,Full,Multimedia,University of East Anglia,Massachusetts Institute of Technology
Robert Lewis (Scot) Drysdale III,Dartmouth College,1979,Full,Algorithms & Theory,Knox College,Stanford University
Sergey Bratus,Dartmouth College,,Research,Security & Privacy,Moscow Institute of Physics and Technology,Northeastern University
Thomas H. Cormen,Dartmouth College,,Full,Algorithms & Theory,Princeton University,Massachusetts Institute of Technology
Xia Zhou,Dartmouth College,2013,Assistant,Networks & Communications,Wuhan University - Wuhan - Hubei,University of California - Santa Barbara
Alexander J. Hartemink,Duke University,2001,Full,Bioinformatics & Computational Biology,Duke University,Massachusetts Institute of Technology
